,nombre,sub_category,latitud,longitud,distance,location,city,category
0,Viatran,Design Studio,30.3484,-97.706521,1439,"{'type': 'Point', 'coordinates': [30.3484, -97.706521]}",Austin,Design Studio
1,Solid Prototype,Design Studio,30.351604461669922,-97.7101058959961,1637,"{'type': 'Point', 'coordinates': [30.351604461669922, -97.7101058959961]}",Austin,Design Studio
2,Cedar International Academy,Preschool,30.34842,-97.69565300000001,731,"{'type': 'Point', 'coordinates': [30.34842, -97.69565300000001]}",Austin,Preschool
3,Cedar International Academy,Preschool,30.34842,-97.69565300000001,731,"{'type': 'Point', 'coordinates': [30.34842, -97.69565300000001]}",Austin,Elementary School
4,Mollie Barrington Elementary School,Elementary School,30.36105393643033,-97.69441287501408,712,"{'type': 'Point', 'coordinates': [30.36105393643033, -97.69441287501408]}",Austin,Elementary School
5,T.A. Brown School,Elementary School,30.346457804486768,-97.70704491225996,1597,"{'type': 'Point', 'coordinates': [30.346457804486768, -97.70704491225996]}",Austin,Elementary School
6,Guerrero-Thompson Elementary,Elementary School,30.363843200028168,-97.6921175002373,1024,"{'type': 'Point', 'coordinates': [30.363843200028168, -97.6921175002373]}",Austin,Elementary School
7,Wooldridge Elementary,Elementary School,30.36372007584484,-97.71064845986616,1933,"{'type': 'Point', 'coordinates': [30.36372007584484, -97.71064845986616]}",Austin,Elementary School
8,Bernice Hart Elementary,Elementary School,30.342446999999996,-97.688041,1460,"{'type': 'Point', 'coordinates': [30.342446999999996, -97.688041]}",Austin,Elementary School
9,Sunguard,Tech Startup,30.344360684975715,-97.69690447535906,1199,"{'type': 'Point', 'coordinates': [30.344360684975715, -97.69690447535906]}",Austin,Tech Startup
10,UPG Video,Tech Startup,30.345261675659298,-97.71132038431534,2014,"{'type': 'Point', 'coordinates': [30.345261675659298, -97.71132038431534]}",Austin,Tech Startup
11,Grande Communications,Tech Startup,30.346933177437883,-97.71422356367111,2176,"{'type': 'Point', 'coordinates': [30.346933177437883, -97.71422356367111]}",Austin,Tech Startup
12,Pole to Win America Austin Office,Tech Startup,30.337876940816923,-97.68344558447731,2105,"{'type': 'Point', 'coordinates': [30.337876940816923, -97.68344558447731]}",Austin,Tech Startup
13,Lasso,Tech Startup,30.344941,-97.713385,2203,"{'type': 'Point', 'coordinates': [30.344941, -97.713385]}",Austin,Tech Startup
14,Micross Components,Tech Startup,30.3437413,-97.67711273,1987,"{'type': 'Point', 'coordinates': [30.3437413, -97.67711273]}",Austin,Tech Startup
15,Together Mobile,Tech Startup,30.35190756008374,-97.7083563717438,1466,"{'type': 'Point', 'coordinates': [30.35190756008374, -97.7083563717438]}",Austin,Tech Startup
16,KLD Energy Technologies,Tech Startup,30.357101025965445,-97.69343216297567,266,"{'type': 'Point', 'coordinates': [30.357101025965445, -97.69343216297567]}",Austin,Tech Startup
17,Lineback ET Headquaters,Tech Startup,30.366194,-97.704878,1685,"{'type': 'Point', 'coordinates': [30.366194, -97.704878]}",Austin,Tech Startup
18,eBook Architects,Tech Startup,30.345577868688704,-97.71246042244613,2090,"{'type': 'Point', 'coordinates': [30.345577868688704, -97.71246042244613]}",Austin,Tech Startup
19,In Hand Media,Tech Startup,30.34464,-97.713054,2192,"{'type': 'Point', 'coordinates': [30.34464, -97.713054]}",Austin,Tech Startup
20,Blue Light,Tech Startup,30.344985029278423,-97.70871162246858,1823,"{'type': 'Point', 'coordinates': [30.344985029278423, -97.70871162246858]}",Austin,Tech Startup
21,HubCiti,Tech Startup,30.344693,-97.712949,2180,"{'type': 'Point', 'coordinates': [30.344693, -97.712949]}",Austin,Tech Startup
22,Zilker Social,Tech Startup,30.352171,-97.708139,1439,"{'type': 'Point', 'coordinates': [30.352171, -97.708139]}",Austin,Tech Startup
23,Umbrella Media,Tech Startup,30.343835688571833,-97.7061983948391,1722,"{'type': 'Point', 'coordinates': [30.343835688571833, -97.7061983948391]}",Austin,Tech Startup
25,Chabelo's Bar,Bar,30.352285385131836,-97.69281768798828,276,"{'type': 'Point', 'coordinates': [30.352285385131836, -97.69281768798828]}",Austin,Nightlife Spot
26,Buffalo Wild Wings,Wings Joint,30.33819528228752,-97.7019906827536,2013,"{'type': 'Point', 'coordinates': [30.33819528228752, -97.7019906827536]}",Austin,Nightlife Spot
27,Applebee's Grill + Bar,American Restaurant,30.33763898,-97.70205255,2072,"{'type': 'Point', 'coordinates': [30.33763898, -97.70205255]}",Austin,Nightlife Spot
28,Milenkos Liquor Store,Wine Bar,30.35548973083496,-97.7039566040039,1013,"{'type': 'Point', 'coordinates': [30.35548973083496, -97.7039566040039]}",Austin,Nightlife Spot
29,Jekyll And Hyde Billards,Bar,30.36374192057265,-97.69543070957226,1023,"{'type': 'Point', 'coordinates': [30.36374192057265, -97.69543070957226]}",Austin,Nightlife Spot
30,Texas Sports Bar,Sports Bar,30.360734939575195,-97.6878890991211,856,"{'type': 'Point', 'coordinates': [30.360734939575195, -97.6878890991211]}",Austin,Nightlife Spot
31,SeoulJu Korean Kitchen & Bar,Korean Restaurant,30.36471,-97.6945,1117,"{'type': 'Point', 'coordinates': [30.36471, -97.6945]}",Austin,Nightlife Spot
32,Centennial Liquor Stop,Wine Bar,30.37156867980957,-97.69135284423828,1887,"{'type': 'Point', 'coordinates': [30.37156867980957, -97.69135284423828]}",Austin,Nightlife Spot
33,Club Tierra Caliente,Bar,30.343857459017034,-97.70486758695976,1632,"{'type': 'Point', 'coordinates': [30.343857459017034, -97.70486758695976]}",Austin,Nightlife Spot
34,Meltzer Restaurant and Pub,Restaurant,30.337329912672917,-97.70237378950287,2116,"{'type': 'Point', 'coordinates': [30.337329912672917, -97.70237378950287]}",Austin,Nightlife Spot
35,Rodeo Night Club,Bar,30.34412384033203,-97.71395111083984,2295,"{'type': 'Point', 'coordinates': [30.34412384033203, -97.71395111083984]}",Austin,Nightlife Spot
36,Tacolote,Bar,30.364038467407227,-97.6960678100586,1068,"{'type': 'Point', 'coordinates': [30.364038467407227, -97.6960678100586]}",Austin,Nightlife Spot
37,Los Buhos,Mexican Restaurant,30.369027,-97.706472,2026,"{'type': 'Point', 'coordinates': [30.369027, -97.706472]}",Austin,Nightlife Spot
38,college roadhouse,Bar,30.364811358731206,-97.69455124090122,1129,"{'type': 'Point', 'coordinates': [30.364811358731206, -97.69455124090122]}",Austin,Nightlife Spot
39,Tejano Ranch,Nightclub,30.344669510934988,-97.71380451545076,2253,"{'type': 'Point', 'coordinates': [30.344669510934988, -97.71380451545076]}",Austin,Nightlife Spot
40,Rodeo Nightclub,Nightclub,30.364290576409495,-97.69507552604398,1078,"{'type': 'Point', 'coordinates': [30.364290576409495, -97.69507552604398]}",Austin,Nightlife Spot
41,Club Apple,Bar,30.33772051334381,-97.70209193229675,2065,"{'type': 'Point', 'coordinates': [30.33772051334381, -97.70209193229675]}",Austin,Nightlife Spot
42,Puff N Stuff,Strip Club,30.343593,-97.698131,1317,"{'type': 'Point', 'coordinates': [30.343593, -97.698131]}",Austin,Nightlife Spot
43,Club Rodeo,Nightclub,30.364245,-97.694548,1066,"{'type': 'Point', 'coordinates': [30.364245, -97.694548]}",Austin,Nightlife Spot
44,Mr Natural,Vegetarian / Vegan Restaurant,30.360249,-97.692789,619,"{'type': 'Point', 'coordinates': [30.360249, -97.692789]}",Austin,Vegetarian / Vegan Restaurant
45,Emancipet,Veterinarian,30.340583,-97.692872,1573,"{'type': 'Point', 'coordinates': [30.340583, -97.692872]}",Austin,Veterinarian
46,Pet Loss Center,Pet Service,30.346065000000003,-97.675325,1988,"{'type': 'Point', 'coordinates': [30.346065000000003, -97.675325]}",Austin,Pet Service
47,LIGALUX,Design Studio,53.567143471870736,9.953387316186628,578,"{'type': 'Point', 'coordinates': [53.567143471870736, 9.953387316186628]}",Hamburg,Design Studio
48,Nerdindustries,Tech Startup,53.57883080716464,9.946013679139408,1965,"{'type': 'Point', 'coordinates': [53.57883080716464, 9.946013679139408]}",Hamburg,Design Studio
49,Hemme - Zeitloses Design,Design Studio,53.55253219604492,9.956469535827637,1110,"{'type': 'Point', 'coordinates': [53.55253219604492, 9.956469535827637]}",Hamburg,Design Studio
50,All Things Letters,Design Studio,53.54711,9.975704,2101,"{'type': 'Point', 'coordinates': [53.54711, 9.975704]}",Hamburg,Design Studio
51,LIV,Design Studio,53.579121911537506,9.956514912770784,1851,"{'type': 'Point', 'coordinates': [53.579121911537506, 9.956514912770784]}",Hamburg,Design Studio
52,Steen,Design Studio,53.552979749870005,9.972121132301684,1443,"{'type': 'Point', 'coordinates': [53.552979749870005, 9.972121132301684]}",Hamburg,Design Studio
53,Flow4,Design Studio,53.560905,9.926796,2024,"{'type': 'Point', 'coordinates': [53.560905, 9.926796]}",Hamburg,Design Studio
54,ps145 | Büro für schöne Bekanntmachung,Design Studio,53.559864,9.956979,294,"{'type': 'Point', 'coordinates': [53.559864, 9.956979]}",Hamburg,Design Studio
55,Freytags Kommunikationsdesign,Design Studio,53.5501823425293,9.948277473449707,1495,"{'type': 'Point', 'coordinates': [53.5501823425293, 9.948277473449707]}",Hamburg,Design Studio
56,Blutkarpfen,Design Studio,53.55764814163315,9.968978978942191,942,"{'type': 'Point', 'coordinates': [53.55764814163315, 9.968978978942191]}",Hamburg,Design Studio
57,Lebendraum,Design Studio,53.553434,9.95796,1010,"{'type': 'Point', 'coordinates': [53.553434, 9.95796]}",Hamburg,Design Studio
58,HPS Hamburger Print Service,Design Studio,53.565306868981224,9.980507029393168,1565,"{'type': 'Point', 'coordinates': [53.565306868981224, 9.980507029393168]}",Hamburg,Design Studio
59,SØNXEN Kommunikationsdesign,Design Studio,53.557445,9.96158,629,"{'type': 'Point', 'coordinates': [53.557445, 9.96158]}",Hamburg,Design Studio
60,Brandfriend PR,Design Studio,53.55850956721185,9.932095090103202,1724,"{'type': 'Point', 'coordinates': [53.55850956721185, 9.932095090103202]}",Hamburg,Design Studio
61,The Integer Group Hamburg,Design Studio,53.54785553226704,9.967818260192871,1772,"{'type': 'Point', 'coordinates': [53.54785553226704, 9.967818260192871]}",Hamburg,Design Studio
62,Nähschule St. Pauli - Rosi Bätz,Design Studio,53.55635,9.965845,887,"{'type': 'Point', 'coordinates': [53.55635, 9.965845]}",Hamburg,Design Studio
63,Studioseminar,Design Studio,53.568866,9.98105,1722,"{'type': 'Point', 'coordinates': [53.568866, 9.98105]}",Hamburg,Design Studio
64,pointon . neue Kommunikation,Design Studio,53.546354,9.942753,2038,"{'type': 'Point', 'coordinates': [53.546354, 9.942753]}",Hamburg,Design Studio
65,Goldfuchs Studio,Design Studio,53.549725,9.947785,1555,"{'type': 'Point', 'coordinates': [53.549725, 9.947785]}",Hamburg,Design Studio
66,Lux von Morgen,Design Studio,53.55345,9.983086,1980,"{'type': 'Point', 'coordinates': [53.55345, 9.983086]}",Hamburg,Design Studio
67,Mount Ray Studio,Design Studio,53.56204383184578,9.926494395733265,2037,"{'type': 'Point', 'coordinates': [53.56204383184578, 9.926494395733265]}",Hamburg,Design Studio
68,Freak Haus,Design Studio,53.55553384843329,9.93643715446792,1582,"{'type': 'Point', 'coordinates': [53.55553384843329, 9.93643715446792]}",Hamburg,Design Studio
69,Emily Kindergarten,Nursery School,53.557486498934615,9.958556231361598,564,"{'type': 'Point', 'coordinates': [53.557486498934615, 9.958556231361598]}",Hamburg,Nursery School
70,Kinderstadt Kita - Ottensen,Nursery School,53.562806,9.927297,1984,"{'type': 'Point', 'coordinates': [53.562806, 9.927297]}",Hamburg,Nursery School
71,Sterni Park,Nursery School,53.560231,9.954684,306,"{'type': 'Point', 'coordinates': [53.560231, 9.954684]}",Hamburg,Nursery School
72,Waldorfkindergarten,Daycare,53.574406,9.972153,1649,"{'type': 'Point', 'coordinates': [53.574406, 9.972153]}",Hamburg,Nursery School
73,Stapellauf,Nursery School,53.58204234633255,9.969870886132389,2328,"{'type': 'Point', 'coordinates': [53.58204234633255, 9.969870886132389]}",Hamburg,Nursery School
74,Musikkindergarten,Nursery School,53.56262053054844,9.96739956034854,667,"{'type': 'Point', 'coordinates': [53.56262053054844, 9.96739956034854]}",Hamburg,Nursery School
75,Paula & Max,Nursery School,53.55750282585707,9.94905219129467,779,"{'type': 'Point', 'coordinates': [53.55750282585707, 9.94905219129467]}",Hamburg,Nursery School
76,Deutsch-Chinesischer Kindergarten,Nursery School,53.568638439036974,9.95359810298966,725,"{'type': 'Point', 'coordinates': [53.568638439036974, 9.95359810298966]}",Hamburg,Nursery School
77,Kita Kohlhöfen,Nursery School,53.55318664683582,9.979998316839257,1824,"{'type': 'Point', 'coordinates': [53.55318664683582, 9.979998316839257]}",Hamburg,Nursery School
78,SterniPark Weidenallee,Nursery School,53.567199912032024,9.964867167688798,723,"{'type': 'Point', 'coordinates': [53.567199912032024, 9.964867167688798]}",Hamburg,Nursery School
79,Wabe Kita Stahltwiete,Nursery School,53.561813,9.925124,2128,"{'type': 'Point', 'coordinates': [53.561813, 9.925124]}",Hamburg,Nursery School
80,Kita Bucerius Law School,Daycare,53.55999730886004,9.984201192855835,1800,"{'type': 'Point', 'coordinates': [53.55999730886004, 9.984201192855835]}",Hamburg,Nursery School
81,Kinderladen Murmel e.V.,Nursery School,53.558287468144705,9.982548139358972,1734,"{'type': 'Point', 'coordinates': [53.558287468144705, 9.982548139358972]}",Hamburg,Nursery School
82,Kita Sternipark Goethestrasse,Nursery School,53.552717,9.940072,1575,"{'type': 'Point', 'coordinates': [53.552717, 9.940072]}",Hamburg,Nursery School
83,Mottenkiste KOZA,Nursery School,53.553373,9.926547,2273,"{'type': 'Point', 'coordinates': [53.553373, 9.926547]}",Hamburg,Nursery School
84,Karo Kids,Nursery School,53.559873,9.973,1078,"{'type': 'Point', 'coordinates': [53.559873, 9.973]}",Hamburg,Nursery School
85,Kinderladen Rombergstraße,Nursery School,53.577899,9.948033,1820,"{'type': 'Point', 'coordinates': [53.577899, 9.948033]}",Hamburg,Nursery School
86,Kindergarten Maximum,Nursery School,53.553872,9.954881,973,"{'type': 'Point', 'coordinates': [53.553872, 9.954881]}",Hamburg,Nursery School
87,Kindergarten St. Petri Altona,Nursery School,53.549003,9.939001,1929,"{'type': 'Point', 'coordinates': [53.549003, 9.939001]}",Hamburg,Nursery School
88,Panama Kids,Nursery School,53.56556318094664,9.981703585017337,1649,"{'type': 'Point', 'coordinates': [53.56556318094664, 9.981703585017337]}",Hamburg,Nursery School
89,Kita Sillemstrasse,Nursery School,53.5758569832732,9.946621494483884,1645,"{'type': 'Point', 'coordinates': [53.5758569832732, 9.946621494483884]}",Hamburg,Nursery School
90,Wolkenzwerge,Nursery School,53.553968559865915,9.984408847705048,2028,"{'type': 'Point', 'coordinates': [53.553968559865915, 9.984408847705048]}",Hamburg,Nursery School
91,Kindergarten Gängeviertel,Nursery School,53.55566060803343,9.980317789134903,1701,"{'type': 'Point', 'coordinates': [53.55566060803343, 9.980317789134903]}",Hamburg,Nursery School
92,Kita Villa Vivendi,Nursery School,53.55954157229842,9.948805837379808,651,"{'type': 'Point', 'coordinates': [53.55954157229842, 9.948805837379808]}",Hamburg,Nursery School
93,Kita Wi Wa Wuschel,Nursery School,53.560187,9.952753,395,"{'type': 'Point', 'coordinates': [53.560187, 9.952753]}",Hamburg,Nursery School
94,Tobekatzen e.V.,Nursery School,53.575869772397,9.965017052482906,1573,"{'type': 'Point', 'coordinates': [53.575869772397, 9.965017052482906]}",Hamburg,Nursery School
95,Kinderclub Chamäleon,Nursery School,53.555457460935436,9.945839035914897,1090,"{'type': 'Point', 'coordinates': [53.555457460935436, 9.945839035914897]}",Hamburg,Nursery School
96,Kita Scheplerstrasse,Daycare,53.55493289883611,9.954444471689131,863,"{'type': 'Point', 'coordinates': [53.55493289883611, 9.954444471689131]}",Hamburg,Preschool
97,Kita Wrangelstraße,Daycare,53.582225875889414,9.967549989982956,2298,"{'type': 'Point', 'coordinates': [53.582225875889414, 9.967549989982956]}",Hamburg,Preschool
98,Kita Tornquiststraße,Daycare,53.57235635371662,9.955960223241197,1100,"{'type': 'Point', 'coordinates': [53.57235635371662, 9.955960223241197]}",Hamburg,Preschool
99,Kita Zauberzeit,Daycare,53.56813324428709,9.955557798262417,637,"{'type': 'Point', 'coordinates': [53.56813324428709, 9.955557798262417]}",Hamburg,Preschool
100,KiTa Markusstrasse,Daycare,53.55135958328112,9.979220742525824,1907,"{'type': 'Point', 'coordinates': [53.55135958328112, 9.979220742525824]}",Hamburg,Preschool
101,kita emilienstrasse,Daycare,53.57373099411165,9.9530237021497,1281,"{'type': 'Point', 'coordinates': [53.57373099411165, 9.9530237021497]}",Hamburg,Preschool
102,Kita Monetastrasse,Daycare,53.569766,9.976537,1507,"{'type': 'Point', 'coordinates': [53.569766, 9.976537]}",Hamburg,Preschool
103,KiTa Zeiseweg,Daycare,53.55910680998118,9.945367540635045,874,"{'type': 'Point', 'coordinates': [53.55910680998118, 9.945367540635045]}",Hamburg,Preschool
104,Ganztagsgrundschule Sternschanze,Elementary School,53.5641394883162,9.964957651002257,538,"{'type': 'Point', 'coordinates': [53.5641394883162, 9.964957651002257]}",Hamburg,Elementary School
105,Grundschule Kielortallee,Elementary School,53.57191873098372,9.974319315763044,1537,"{'type': 'Point', 'coordinates': [53.57191873098372, 9.974319315763044]}",Hamburg,Elementary School
106,Grundschule St. Pauli,Elementary School,53.54738381290249,9.95882749557495,1685,"{'type': 'Point', 'coordinates': [53.54738381290249, 9.95882749557495]}",Hamburg,Elementary School
107,Grundschule Rellinger Straße,Elementary School,53.574367703370825,9.942457694923357,1645,"{'type': 'Point', 'coordinates': [53.574367703370825, 9.942457694923357]}",Hamburg,Elementary School
108,Ganztagsschule St. Pauli,Elementary School,53.547587,9.959339,1665,"{'type': 'Point', 'coordinates': [53.547587, 9.959339]}",Hamburg,Elementary School
109,Grundschule Brehmweg,Elementary School,53.58436716121573,9.940780912233468,2667,"{'type': 'Point', 'coordinates': [53.58436716121573, 9.940780912233468]}",Hamburg,Elementary School
110,Ganztagsgrundschule Sternschanze,Elementary School,53.55963009018807,9.966152082958148,666,"{'type': 'Point', 'coordinates': [53.55963009018807, 9.966152082958148]}",Hamburg,Elementary School
111,Louise Schröder Schule,College Classroom,53.553776183370964,9.949758239590617,1091,"{'type': 'Point', 'coordinates': [53.553776183370964, 9.949758239590617]}",Hamburg,Elementary School
112,Grundschule Tornquiststraße,Elementary School,53.57349225868973,9.953261306229392,1252,"{'type': 'Point', 'coordinates': [53.57349225868973, 9.953261306229392]}",Hamburg,Elementary School
113,grundschule hoheluft,Elementary School,53.58164368232666,9.967810847689252,2241,"{'type': 'Point', 'coordinates': [53.58164368232666, 9.967810847689252]}",Hamburg,Elementary School
114,Grundschule Lutterothstraße,Elementary School,53.5810810838406,9.952765210589357,2090,"{'type': 'Point', 'coordinates': [53.5810810838406, 9.952765210589357]}",Hamburg,Elementary School
115,Astrid Lindgren Grundschule,Elementary School,53.57228648046505,9.968399545101484,1313,"{'type': 'Point', 'coordinates': [53.57228648046505, 9.968399545101484]}",Hamburg,Elementary School
116,Katholische Schule am Weiher,Elementary School,53.57748681299683,9.95829105377197,1669,"{'type': 'Point', 'coordinates': [53.57748681299683, 9.95829105377197]}",Hamburg,Elementary School
117,Wahllokal 21301 (BTW2017),Elementary School,53.555025,9.932141,1860,"{'type': 'Point', 'coordinates': [53.555025, 9.932141]}",Hamburg,Elementary School
118,ganztag schule,Elementary School,53.548105,9.959443,1608,"{'type': 'Point', 'coordinates': [53.548105, 9.959443]}",Hamburg,Elementary School
119,Avocado Store GmbH,Miscellaneous Shop,53.55688730642383,9.961509704589844,683,"{'type': 'Point', 'coordinates': [53.55688730642383, 9.961509704589844]}",Hamburg,Tech Startup
120,MIKESTAR,Tech Startup,53.55877843181767,9.984665377580978,1856,"{'type': 'Point', 'coordinates': [53.55877843181767, 9.984665377580978]}",Hamburg,Tech Startup
121,cony.io hh_1,Tech Startup,53.55933,9.947204,755,"{'type': 'Point', 'coordinates': [53.55933, 9.947204]}",Hamburg,Tech Startup
122,GlooNation,Tech Startup,53.571562616106206,9.948334034726956,1170,"{'type': 'Point', 'coordinates': [53.571562616106206, 9.948334034726956]}",Hamburg,Tech Startup
123,Graylog HQ,Tech Startup,53.55480209932871,9.979713135728709,1711,"{'type': 'Point', 'coordinates': [53.55480209932871, 9.979713135728709]}",Hamburg,Tech Startup
124,Anywhere mobile GmbH,Tech Startup,53.55477,9.950352,975,"{'type': 'Point', 'coordinates': [53.55477, 9.950352]}",Hamburg,Tech Startup
125,Rudi's und Waldi's Office,Tech Startup,53.560169371992544,9.971680641174316,985,"{'type': 'Point', 'coordinates': [53.560169371992544, 9.971680641174316]}",Hamburg,Tech Startup
126,FWD.IO,Tech Startup,53.560950763184664,9.967242100167995,679,"{'type': 'Point', 'coordinates': [53.560950763184664, 9.967242100167995]}",Hamburg,Tech Startup
127,Sofatronic,Tech Startup,53.56304883956909,9.926324486732483,2048,"{'type': 'Point', 'coordinates': [53.56304883956909, 9.926324486732483]}",Hamburg,Tech Startup
128,Eight Days A Week,Tech Startup,53.552406014241754,9.95688606271948,1123,"{'type': 'Point', 'coordinates': [53.552406014241754, 9.95688606271948]}",Hamburg,Tech Startup
129,Social Strategies,Tech Startup,53.561030165519774,9.967223819055906,676,"{'type': 'Point', 'coordinates': [53.561030165519774, 9.967223819055906]}",Hamburg,Tech Startup
130,Triboox,Tech Startup,53.54970752198097,9.93623683512791,1991,"{'type': 'Point', 'coordinates': [53.54970752198097, 9.93623683512791]}",Hamburg,Tech Startup
131,Oracle Hospitality Cruise,Tech Startup,53.556324696701445,9.926963839846543,2120,"{'type': 'Point', 'coordinates': [53.556324696701445, 9.926963839846543]}",Hamburg,Tech Startup
132,fairsprechen,Tech Startup,53.577413617125615,9.95609617082645,1662,"{'type': 'Point', 'coordinates': [53.577413617125615, 9.95609617082645]}",Hamburg,Tech Startup
133,HealthCo Gmbh,Tech Startup,53.55525,9.986208,2074,"{'type': 'Point', 'coordinates': [53.55525, 9.986208]}",Hamburg,Tech Startup
134,VB:34,Tech Startup,53.54701569042044,9.974041314874144,2048,"{'type': 'Point', 'coordinates': [53.54701569042044, 9.974041314874144]}",Hamburg,Tech Startup
135,Goodtrip HQ,Tech Startup,53.55610194379826,9.933750676298631,1712,"{'type': 'Point', 'coordinates': [53.55610194379826, 9.933750676298631]}",Hamburg,Tech Startup
136,Yanus Verlag,Tech Startup,53.558342,9.967793,834,"{'type': 'Point', 'coordinates': [53.558342, 9.967793]}",Hamburg,Tech Startup
137,Talentformation HQ,Tech Startup,53.58007049560547,9.956079483032227,1957,"{'type': 'Point', 'coordinates': [53.58007049560547, 9.956079483032227]}",Hamburg,Tech Startup
138,Nerdindustries,Tech Startup,53.57883080716464,9.946013679139408,1965,"{'type': 'Point', 'coordinates': [53.57883080716464, 9.946013679139408]}",Hamburg,Tech Startup
139,Testroom,Tech Startup,53.554711060298146,9.97857866492966,1652,"{'type': 'Point', 'coordinates': [53.554711060298146, 9.97857866492966]}",Hamburg,Tech Startup
140,Hootsuite,Tech Startup,53.55205,9.984582,2146,"{'type': 'Point', 'coordinates': [53.55205, 9.984582]}",Hamburg,Tech Startup
141,Wechselwild,Tech Startup,53.56118102533036,9.966538846492767,628,"{'type': 'Point', 'coordinates': [53.56118102533036, 9.966538846492767]}",Hamburg,Tech Startup
142,metrigo HQ,Tech Startup,53.56193828913369,9.96781233796702,697,"{'type': 'Point', 'coordinates': [53.56193828913369, 9.96781233796702]}",Hamburg,Tech Startup
143,Playground Of Thoughts,Tech Startup,53.572935,9.956438,1163,"{'type': 'Point', 'coordinates': [53.572935, 9.956438]}",Hamburg,Tech Startup
144,Digital Pioneers,Tech Startup,53.5439075032697,9.947812452873917,2162,"{'type': 'Point', 'coordinates': [53.5439075032697, 9.947812452873917]}",Hamburg,Tech Startup
145,TRG Office Hamburg,Office,53.54434655562103,9.947585130129804,2120,"{'type': 'Point', 'coordinates': [53.54434655562103, 9.947585130129804]}",Hamburg,Tech Startup
146,Smaato,Tech Startup,53.5561967975047,9.983561035314779,1872,"{'type': 'Point', 'coordinates': [53.5561967975047, 9.983561035314779]}",Hamburg,Tech Startup
147,brandpfeil,Tech Startup,53.55723211450271,9.965442079706708,796,"{'type': 'Point', 'coordinates': [53.55723211450271, 9.965442079706708]}",Hamburg,Tech Startup
148,Onlinehelp24,Tech Startup,53.557492755147074,9.961724281311035,629,"{'type': 'Point', 'coordinates': [53.557492755147074, 9.961724281311035]}",Hamburg,Tech Startup
179,Gleis 11/12,Platform,53.55319605239481,9.935550744959803,1772,"{'type': 'Point', 'coordinates': [53.55319605239481, 9.935550744959803]}",Hamburg,Train Station
180,Autozug-Terminal Hamburg,Platform,53.55407663625435,9.93586778640747,1699,"{'type': 'Point', 'coordinates': [53.55407663625435, 9.93586778640747]}",Hamburg,Train Station
181,Bahnhof Hamburg-Altona,Train Station,53.55241607890848,9.935052338490426,1850,"{'type': 'Point', 'coordinates': [53.55241607890848, 9.935052338490426]}",Hamburg,Train Station
182,Gleis 7/8,Platform,53.553209636013605,9.93495436775073,1803,"{'type': 'Point', 'coordinates': [53.553209636013605, 9.93495436775073]}",Hamburg,Train Station
183,Gleis 1/2 (S-Bahn),Platform,53.55262799029032,9.935167067167944,1830,"{'type': 'Point', 'coordinates': [53.55262799029032, 9.935167067167944]}",Hamburg,Train Station
184,Modellbahnanlage Im Bahnhof Altona,Train Station,53.552303,9.935166,1852,"{'type': 'Point', 'coordinates': [53.552303, 9.935166]}",Hamburg,Train Station
185,Gleis 9/10,Platform,53.552922996496235,9.935320615768433,1802,"{'type': 'Point', 'coordinates': [53.552922996496235, 9.935320615768433]}",Hamburg,Train Station
186,Craft Bier Bar Hamburg,Beer Bar,53.56340020530573,9.958881139755249,144,"{'type': 'Point', 'coordinates': [53.56340020530573, 9.958881139755249]}",Hamburg,Nightlife Spot
187,Unikat,Hookah Bar,53.56686479350386,9.981230985629246,1655,"{'type': 'Point', 'coordinates': [53.56686479350386, 9.981230985629246]}",Hamburg,Nightlife Spot
188,Paulaner's Am Großneumarkt,Beer Bar,53.55047256297075,9.980671840936813,2044,"{'type': 'Point', 'coordinates': [53.55047256297075, 9.980671840936813]}",Hamburg,Nightlife Spot
189,Astra Brauerei,Brewery,53.550198,9.956275,1371,"{'type': 'Point', 'coordinates': [53.550198, 9.956275]}",Hamburg,Nightlife Spot
190,Hafen Klub Hamburg e.V.,Bar,53.54577700431174,9.968621444338277,2006,"{'type': 'Point', 'coordinates': [53.54577700431174, 9.968621444338277]}",Hamburg,Nightlife Spot
191,Das Lokal,Beer Bar,53.575206,9.96617,1531,"{'type': 'Point', 'coordinates': [53.575206, 9.96617]}",Hamburg,Nightlife Spot
192,Café Seepavillon,Café,53.562374267224556,9.98190388083458,1626,"{'type': 'Point', 'coordinates': [53.562374267224556, 9.98190388083458]}",Hamburg,Nightlife Spot
193,Dock 3 Beachclub,Beach Bar,53.545915732568325,9.965578617802613,1925,"{'type': 'Point', 'coordinates': [53.545915732568325, 9.965578617802613]}",Hamburg,Nightlife Spot
194,Sportpub Tankstelle,Sports Bar,53.54807806750356,9.961227023733098,1626,"{'type': 'Point', 'coordinates': [53.54807806750356, 9.961227023733098]}",Hamburg,Nightlife Spot
195,Eier Carl,Pub,53.545274159991216,9.952233043925082,1946,"{'type': 'Point', 'coordinates': [53.545274159991216, 9.952233043925082]}",Hamburg,Nightlife Spot
196,Malto,Beer Bar,53.555468,9.942967,1229,"{'type': 'Point', 'coordinates': [53.555468, 9.942967]}",Hamburg,Nightlife Spot
197,The Chug Club Bar,Cocktail Bar,53.54818648918455,9.965179593563755,1676,"{'type': 'Point', 'coordinates': [53.54818648918455, 9.965179593563755]}",Hamburg,Nightlife Spot
