nombre,sub_category,latitud,longitud,distance,city,category,ponder,geometry
Rustic Tap,Bar,30.269532889564395,-97.74914530679351,642,Austin,Nightlife Spot,0.9,POINT (-97.74914530679351 30.2695328895644)
Violet Crown Cinema,Indie Movie Theater,30.26552397008005,-97.7481887385356,950,Austin,Nightlife Spot,0.9,POINT (-97.7481887385356 30.26552397008005)
Carpenters Hall,Restaurant,30.262191856255196,-97.7587578320245,1056,Austin,Nightlife Spot,0.9,POINT (-97.7587578320245 30.2621918562552)
Little Woodrow's,Bar,30.269732264039575,-97.74822516062437,721,Austin,Nightlife Spot,0.9,POINT (-97.74822516062437 30.26973226403958)
Donn's Depot,Dive Bar,30.273781,-97.763382,806,Austin,Nightlife Spot,0.9,POINT (-97.76338199999999 30.273781)
Star Bar,Bar,30.269791799232685,-97.74850510965844,693,Austin,Nightlife Spot,0.9,POINT (-97.74850510965844 30.26979179923269)
The Roosevelt Room,Cocktail Bar,30.267842,-97.746242,969,Austin,Nightlife Spot,0.9,POINT (-97.746242 30.267842)
Next Level Burger,Vegetarian / Vegan Restaurant,30.270605676440674,-97.75312889553437,240,Austin,Vegetarian / Vegan Restaurant,0.18,POINT (-97.75312889553437 30.27060567644067)
Juiceland,Juice Bar,30.270983,-97.753333,212,Austin,Vegetarian / Vegan Restaurant,0.18,POINT (-97.753333 30.270983)
Juice Land,Smoothie Shop,30.266818,-97.749766,741,Austin,Vegetarian / Vegan Restaurant,0.18,POINT (-97.74976599999999 30.266818)
Crazy Tortilla,Food Truck,30.26975,-97.749301,620,Austin,Vegetarian / Vegan Restaurant,0.18,POINT (-97.749301 30.26975)
True Food Kitchen,New American Restaurant,30.267194,-97.752134,557,Austin,Vegetarian / Vegan Restaurant,0.18,POINT (-97.752134 30.267194)
Casa de Luz,Vegetarian / Vegan Restaurant,30.26412621398494,-97.76180412774343,997,Austin,Vegetarian / Vegan Restaurant,0.18,POINT (-97.76180412774343 30.26412621398494)
West Lynn Veterinary Clinic,Veterinarian,30.27655219353802,-97.7610233408046,792,Austin,Dobby,0.2,POINT (-97.7610233408046 30.27655219353802)
ZippiVet,Veterinarian,30.263205,-97.757191,910,Austin,Dobby,0.2,POINT (-97.75719100000001 30.263205)
Highlands Pet Medical Clinic,Veterinarian,30.278146999999997,-97.751743,848,Austin,Dobby,0.2,POINT (-97.751743 30.278147)
Healthy Pet,Pet Store,30.26734,-97.752343,532,Austin,Dobby,0.2,POINT (-97.752343 30.26734)
Upper Paw Urban Pet Resort,Pet Service,30.269452,-97.75019,550,Austin,Dobby,0.2,POINT (-97.75019 30.269452)
C Dog Lady,Pet Service,30.263205,-97.757191,910,Austin,Dobby,0.2,POINT (-97.75719100000001 30.263205)
Invisible Fence of Southeast Texas,Construction & Landscaping,30.277859684390798,-97.75182072879514,816,Austin,Dobby,0.2,POINT (-97.75182072879514 30.2778596843908)
Bus Stop 4086 - 5th & West Lynn,Bus Stop,30.273689208070937,-97.76327265616915,793,Austin,Dobby,0.2,POINT (-97.76327265616915 30.27368920807094)
Barking Hound Village,Pet Service,30.261745754090594,-97.75893079061424,1108,Austin,Dobby,0.2,POINT (-97.75893079061424 30.26174575409059)
